creature_random_hag

YES_RANDOM_NIGHTCREATURE!OBJECT:CREATURE]

[CREATURE:HAG_RANDOM_001]
	[DESCRIPTION:A big humanoid monster. It is covered in crimson scales and crimson hair. This evil creature has deer-like antlers with strange properties and a shell into which it can retract. Its attacks are very powerful. It is unaging. It is associated with festivals, death, and the night. Now you will know why you fear the night.]
	[NAME:humorcackle troll-hag:humorcackle troll-hags:humorcackle troll-hag]
	[CREATURE_TILE:165]
	[COLOR:2:0:0]
	[NO_UNIT_TYPE_COLOR]
	[FANCIFUL]
	[INTELLIGENT]
	[EQUIPS]
	[CANOPENDOORS]
	[LARGE_PREDATOR]
	[NO_EAT]
	[NO_DRINK]
	[SUPERNATURAL]
	[NIGHT_CREATURE_HUNTER]
	[SENSE_CREATURE_CLASS:GENERAL_POISON:15:4:0:1]
	[CASTE:FEMALE]
	[CASTE_NAME:humorcackle troll-hag:humorcackle troll-hags:humorcackle troll-hag]
	[FEMALE]
	[SPOUSE_CONVERTER]
	[ORIENTATION:MALE:0:0:1]
	[ORIENTATION:FEMALE:1:0:0]
	[CASTE:MALE]
	[CASTE_NAME:mate of the humorcackle troll-hag:mates of the humorcackle troll-hag:mate of the humorcackle troll-hag]
	[MALE]
	[CONVERTED_SPOUSE]
	[SELECT_CASTE:ALL]
	[EVIL]
	[BIOME:NOT_FREEZING]
	[DIFFICULTY:4]
	[ATTACK_TRIGGER:35:1000:10000]
	[LAIR:SIMPLE_MOUND:50]
	[LAIR:SIMPLE_BURROW:50]
	[LAIR_CHARACTERISTIC:HAS_DOORS:100]
	[SPHERE:FESTIVALS]
	[SPHERE:DEATH]
	[SPHERE:NIGHT]
	[SWIMS_LEARNED]
	[APPLY_CREATURE_VARIATION:STANDARD_BIPED_GAITS:900:657:438:219:1900:2900]
	[APPLY_CREATURE_VARIATION:STANDARD_SWIMMING_GAITS:4732:4026:3327:1097:5922:7567]
	[APPLY_CREATURE_VARIATION:STANDARD_CRAWLING_GAITS:8390:8204:8040:4388:8989:9567]
	[APPLY_CREATURE_VARIATION:STANDARD_CLIMBING_GAITS:4732:4026:3327:1097:5922:7567]
	[SOUND:PEACEFUL_INTERMITTENT:59:10000:VOCALIZATION:cackle "Mwu ju ju!":cackles "Mwu ju ju!":a cackle like "Mwu ju ju!"]
	[SOUND:ALERT:118:1000:VOCALIZATION:cackle "Mwu ju ju!":cackles "Mwu ju ju!":a cackle like "Mwu ju ju!"]
	[NATURAL_SKILL:BITE:4]
	[NATURAL_SKILL:GRASP_STRIKE:4]
	[NATURAL_SKILL:STANCE_STRIKE:4]
	[HABIT_NUM:TEST_ALL]
	[HABIT:COLLECT_TROPHIES:50]
	[HABIT:COOK_BLOOD:50]
	[HABIT:COOK_PEOPLE:50]
