creature_random_myth_beast_fiend

YES_RANDOM_DEMON!OBJECT:CREATURE]


[CREATURE:BOAR_FIEND_CLOCK]
	[DESCRIPTION:A huge two-tailed pig-like monster twisted into humanoid shape. Its skin is colored dark peach. This evil creature has hooves, dark peach hair, and tusks. It is a sapient creature. It roams the Underworld. It smells of brimstone. It has good skills in weaponry and evasive arts. Beware its fire! It is unaging. Its parts are worth four times as much as those of normal creatures. It is associated with crafts, wisdom, and chaos.]
	[NAME:boar zecalo of clocks:boar zecalos of clocks:boar zecalo of clocks]
	[CASTE_NAME:boar zecalo of clocks:boar zecalos of clocks:boar zecalo of clocks]
	[CREATURE_TILE:38]
	[COLOR:7:0:1]
	[FANCIFUL]
	[INTELLIGENT]
	[FIREIMMUNE]
	[FIREIMMUNE_SUPER]
	[LARGE_PREDATOR]
	[NO_EAT]
	[NO_DRINK]
	[SUPERNATURAL]
	[CASTE:FEMALE]
	[FEMALE]
	[CASTE:MALE]
	[MALE]
	[SELECT_CASTE:ALL]
	[EVIL]
	[LARGE_ROAMING]
	[FREQUENCY:50]
	[BIOME:SUBTERRANEAN_CHASM]
	[UNDERGROUND_DEPTH:5:5]
	[POPULATION_NUMBER:18:36]
	[CLUSTER_NUMBER:4:9]
	[DIFFICULTY:4]
	[SPHERE:CRAFTS]
	[SPHERE:WISDOM]
	[SPHERE:CHAOS]
	[CAN_DO_INTERACTION:MATERIAL_EMISSION]
		[CDI:ADV_NAME:Breath fire]
		[CDI:USAGE_HINT:ATTACK]
		[CDI:BP_REQUIRED:BY_CATEGORY:MOUTH]
		[CDI:FLOW:FIREBALL]
		[CDI:TARGET:C:LINE_OF_SIGHT]
		[CDI:TARGET_RANGE:C:11]
		[CDI:MAX_TARGET_NUMBER:C:1]
		[CDI:WAIT_PERIOD:38]
	[SWIMS_LEARNED]
	[APPLY_CREATURE_VARIATION:STANDARD_BIPED_GAITS:900:657:438:219:1900:2900]
	[APPLY_CREATURE_VARIATION:STANDARD_SWIMMING_GAITS:4732:4026:3327:1097:5922:7567]
	[APPLY_CREATURE_VARIATION:STANDARD_CRAWLING_GAITS:8390:8204:8040:4388:8989:9567]
	[APPLY_CREATURE_VARIATION:STANDARD_CLIMBING_GAITS:4732:4026:3327:1097:5922:7567]
	[PETVALUE:2000]
	[NATURAL_SKILL:AXE:9]
