plant_grasses

[OBJECT:PLANT]

[PLANT:MEADOW-GRASS]
	[ALL_NAMES:meadow-grass]
	[USE_MATERIAL_TEMPLATE:STRUCTURAL:STRUCTURAL_PLANT_TEMPLATE]
	[BASIC_MAT:LOCAL_PLANT_MAT:STRUCTURAL]
	[GRASS]
	[GRASS_TILES:'.':',':'`':''']
	[GRASS_COLORS:2:0:1:2:0:0:6:0:1:6:0:0]
	[WET]
	[DRY]
	[BIOME:GRASSLAND_TEMPERATE]
	[BIOME:SAVANNA_TEMPERATE]
	[BIOME:SHRUBLAND_TEMPERATE]
	[BIOME:ANY_TEMPERATE_FOREST]
	[BIOME:MOUNTAIN]
	[BIOME:TUNDRA]
	[BIOME:TAIGA]
	[BIOME:GRASSLAND_TROPICAL]
	[BIOME:SAVANNA_TROPICAL]
	[BIOME:SHRUBLAND_TROPICAL]
	[BIOME:ANY_TROPICAL_FOREST]
	[BIOME:ANY_GRASSLAND]
	[BIOME:ANY_SAVANNA]
	[BIOME:ANY_SHRUBLAND]
	[BIOME:ANY_FOREST]
	[BIOME:ANY_DESERT]
	[BIOME:NOT_FREEZING]

[PLANT:HAIR GRASS]
	[ALL_NAMES:hair grass]
	[USE_MATERIAL_TEMPLATE:STRUCTURAL:STRUCTURAL_PLANT_TEMPLATE]
	[BASIC_MAT:LOCAL_PLANT_MAT:STRUCTURAL]
	[GRASS]
	[GRASS_TILES:'.':',':'`':''']
	[GRASS_COLORS:2:0:1:2:0:0:6:0:1:6:0:0]
	YES_STANDARD_GRASS!WET]
	YES_STANDARD_GRASS!DRY]
	YES_STANDARD_GRASS!BIOME:GRASSLAND_TEMPERATE]
	YES_STANDARD_GRASS!BIOME:SAVANNA_TEMPERATE]
	YES_STANDARD_GRASS!BIOME:SHRUBLAND_TEMPERATE]
	YES_STANDARD_GRASS!BIOME:ANY_TEMPERATE_FOREST]
	YES_STANDARD_GRASS!BIOME:MOUNTAIN]
	YES_STANDARD_GRASS!BIOME:TUNDRA]
	YES_STANDARD_GRASS!BIOME:TAIGA]

[PLANT:BENTGRASS]
	[ALL_NAMES:bentgrass]
	[USE_MATERIAL_TEMPLATE:STRUCTURAL:STRUCTURAL_PLANT_TEMPLATE]
	[BASIC_MAT:LOCAL_PLANT_MAT:STRUCTURAL]
	[GRASS]
	[GRASS_TILES:'.':',':'`':''']
	[GRASS_COLORS:2:0:1:2:0:0:6:0:1:6:0:0]
	YES_STANDARD_GRASS!WET]
	YES_STANDARD_GRASS!DRY]
	YES_STANDARD_GRASS!BIOME:GRASSLAND_TEMPERATE]
	YES_STANDARD_GRASS!BIOME:SAVANNA_TEMPERATE]
	YES_STANDARD_GRASS!BIOME:SHRUBLAND_TEMPERATE]
	YES_STANDARD_GRASS!BIOME:ANY_TEMPERATE_FOREST]
	YES_STANDARD_GRASS!BIOME:MOUNTAIN]
	YES_STANDARD_GRASS!BIOME:TUNDRA]
	YES_STANDARD_GRASS!BIOME:TAIGA]

[PLANT:RYEGRASS]
	[ALL_NAMES:ryegrass]
	[USE_MATERIAL_TEMPLATE:STRUCTURAL:STRUCTURAL_PLANT_TEMPLATE]
	[BASIC_MAT:LOCAL_PLANT_MAT:STRUCTURAL]
	[GRASS]
	[GRASS_TILES:'.':',':'`':''']
	[GRASS_COLORS:2:0:1:2:0:0:6:0:1:6:0:0]
	YES_STANDARD_GRASS!WET]
	YES_STANDARD_GRASS!DRY]
	YES_STANDARD_GRASS!BIOME:GRASSLAND_TEMPERATE]
	YES_STANDARD_GRASS!BIOME:SAVANNA_TEMPERATE]
	YES_STANDARD_GRASS!BIOME:SHRUBLAND_TEMPERATE]
	YES_STANDARD_GRASS!BIOME:ANY_TEMPERATE_FOREST]

[PLANT:FESCUE GRASS]
	[ALL_NAMES:fescue grass]
	[USE_MATERIAL_TEMPLATE:STRUCTURAL:STRUCTURAL_PLANT_TEMPLATE]
	[BASIC_MAT:LOCAL_PLANT_MAT:STRUCTURAL]
	[GRASS]
	[GRASS_TILES:'.':',':'`':''']
	[GRASS_COLORS:2:0:1:2:0:0:6:0:1:6:0:0]
	YES_STANDARD_GRASS!WET]
	YES_STANDARD_GRASS!DRY]
	YES_STANDARD_GRASS!BIOME:GRASSLAND_TEMPERATE]
	YES_STANDARD_GRASS!BIOME:SAVANNA_TEMPERATE]
	YES_STANDARD_GRASS!BIOME:SHRUBLAND_TEMPERATE]
	YES_STANDARD_GRASS!BIOME:ANY_TEMPERATE_FOREST]
	YES_STANDARD_GRASS!BIOME:MOUNTAIN]
	YES_STANDARD_GRASS!BIOME:TUNDRA]
	YES_STANDARD_GRASS!BIOME:TAIGA]

[PLANT:REEDGRASS]
	[ALL_NAMES:reedgrass]
	[USE_MATERIAL_TEMPLATE:STRUCTURAL:STRUCTURAL_PLANT_TEMPLATE]
	[BASIC_MAT:LOCAL_PLANT_MAT:STRUCTURAL]
	[GRASS]
	[GRASS_TILES:'.':',':'`':''']
	[GRASS_COLORS:2:0:1:2:0:0:6:0:1:6:0:0]
	YES_STANDARD_GRASS!WET]
	YES_STANDARD_GRASS!DRY]
	YES_STANDARD_GRASS!BIOME:GRASSLAND_TEMPERATE]
	YES_STANDARD_GRASS!BIOME:SAVANNA_TEMPERATE]
	YES_STANDARD_GRASS!BIOME:SHRUBLAND_TEMPERATE]
	YES_STANDARD_GRASS!BIOME:ANY_TEMPERATE_FOREST]

[PLANT:KNOTGRASS]
	[ALL_NAMES:knotgrass]
	[USE_MATERIAL_TEMPLATE:STRUCTURAL:STRUCTURAL_PLANT_TEMPLATE]
	[BASIC_MAT:LOCAL_PLANT_MAT:STRUCTURAL]
	[GRASS]
	[GRASS_TILES:'.':',':'`':''']
	[GRASS_COLORS:2:0:1:2:0:0:6:0:1:6:0:0]
	YES_STANDARD_GRASS!WET]
	YES_STANDARD_GRASS!DRY]
	YES_STANDARD_GRASS!BIOME:GRASSLAND_TEMPERATE]
	YES_STANDARD_GRASS!BIOME:SAVANNA_TEMPERATE]
	YES_STANDARD_GRASS!BIOME:SHRUBLAND_TEMPERATE]
	YES_STANDARD_GRASS!BIOME:ANY_TEMPERATE_FOREST]

[PLANT:ZOYSIA]
	[ALL_NAMES:zoysia]
	[USE_MATERIAL_TEMPLATE:STRUCTURAL:STRUCTURAL_PLANT_TEMPLATE]
	[BASIC_MAT:LOCAL_PLANT_MAT:STRUCTURAL]
	[GRASS]
	[GRASS_TILES:'.':',':'`':''']
	[GRASS_COLORS:2:0:1:2:0:0:6:0:1:6:0:0]
	YES_STANDARD_GRASS!WET]
	YES_STANDARD_GRASS!DRY]
	YES_STANDARD_GRASS!BIOME:GRASSLAND_TROPICAL]
	YES_STANDARD_GRASS!BIOME:SAVANNA_TROPICAL]
	YES_STANDARD_GRASS!BIOME:SHRUBLAND_TROPICAL]
	YES_STANDARD_GRASS!BIOME:ANY_TROPICAL_FOREST]

[PLANT:DOG'S TOOTH GRASS]
	[ALL_NAMES:dog's tooth grass]
	[USE_MATERIAL_TEMPLATE:STRUCTURAL:STRUCTURAL_PLANT_TEMPLATE]
	[BASIC_MAT:LOCAL_PLANT_MAT:STRUCTURAL]
	[GRASS]
	[GRASS_TILES:'.':',':'`':''']
	[GRASS_COLORS:2:0:1:2:0:0:6:0:1:6:0:0]
	YES_STANDARD_GRASS!WET]
	YES_STANDARD_GRASS!DRY]
	YES_STANDARD_GRASS!BIOME:GRASSLAND_TROPICAL]
	YES_STANDARD_GRASS!BIOME:SAVANNA_TROPICAL]
	YES_STANDARD_GRASS!BIOME:SHRUBLAND_TROPICAL]
	YES_STANDARD_GRASS!BIOME:ANY_TROPICAL_FOREST]

[PLANT:DALLISGRASS]
	[ALL_NAMES:dallisgrass]
	[USE_MATERIAL_TEMPLATE:STRUCTURAL:STRUCTURAL_PLANT_TEMPLATE]
	[BASIC_MAT:LOCAL_PLANT_MAT:STRUCTURAL]
	[GRASS]
	[GRASS_TILES:'.':',':'`':''']
	[GRASS_COLORS:2:0:1:2:0:0:6:0:1:6:0:0]
	YES_STANDARD_GRASS!WET]
	YES_STANDARD_GRASS!DRY]
	YES_STANDARD_GRASS!BIOME:GRASSLAND_TROPICAL]
	YES_STANDARD_GRASS!BIOME:SAVANNA_TROPICAL]
	YES_STANDARD_GRASS!BIOME:SHRUBLAND_TROPICAL]
	YES_STANDARD_GRASS!BIOME:ANY_TROPICAL_FOREST]

[PLANT:CARPETGRASS]
	[ALL_NAMES:carpetgrass]
	[USE_MATERIAL_TEMPLATE:STRUCTURAL:STRUCTURAL_PLANT_TEMPLATE]
	[BASIC_MAT:LOCAL_PLANT_MAT:STRUCTURAL]
	[GRASS]
	[GRASS_TILES:'.':',':'`':''']
	[GRASS_COLORS:2:0:1:2:0:0:6:0:1:6:0:0]
	YES_STANDARD_GRASS!WET]
	YES_STANDARD_GRASS!DRY]
	YES_STANDARD_GRASS!BIOME:GRASSLAND_TROPICAL]
	YES_STANDARD_GRASS!BIOME:SAVANNA_TROPICAL]
	YES_STANDARD_GRASS!BIOME:SHRUBLAND_TROPICAL]
	YES_STANDARD_GRASS!BIOME:ANY_TROPICAL_FOREST]

[PLANT:SATINTAIL]
	[ALL_NAMES:satintail]
	[USE_MATERIAL_TEMPLATE:STRUCTURAL:STRUCTURAL_PLANT_TEMPLATE]
	[BASIC_MAT:LOCAL_PLANT_MAT:STRUCTURAL]
	[GRASS]
	[GRASS_TILES:'.':',':'`':''']
	[GRASS_COLORS:2:0:1:2:0:0:6:0:1:6:0:0]
	YES_STANDARD_GRASS!WET]
	YES_STANDARD_GRASS!DRY]
	YES_STANDARD_GRASS!BIOME:GRASSLAND_TROPICAL]
	YES_STANDARD_GRASS!BIOME:SAVANNA_TROPICAL]
	YES_STANDARD_GRASS!BIOME:SHRUBLAND_TROPICAL]
	YES_STANDARD_GRASS!BIOME:ANY_TROPICAL_FOREST]

[PLANT:GRAMA]
	[ALL_NAMES:grama]
	[USE_MATERIAL_TEMPLATE:STRUCTURAL:STRUCTURAL_PLANT_TEMPLATE]
	[BASIC_MAT:LOCAL_PLANT_MAT:STRUCTURAL]
	[GRASS]
	[GRASS_TILES:'.':',':'`':''']
	[GRASS_COLORS:2:0:1:2:0:0:6:0:1:6:0:0]
	YES_STANDARD_GRASS!WET]
	YES_STANDARD_GRASS!DRY]
	YES_STANDARD_GRASS!BIOME:ANY_GRASSLAND]
	YES_STANDARD_GRASS!BIOME:ANY_SAVANNA]
	YES_STANDARD_GRASS!BIOME:ANY_SHRUBLAND]
	YES_STANDARD_GRASS!BIOME:ANY_FOREST]

[PLANT:DROPSEED GRASS]
	[ALL_NAMES:dropseed grass]
	[USE_MATERIAL_TEMPLATE:STRUCTURAL:STRUCTURAL_PLANT_TEMPLATE]
	[BASIC_MAT:LOCAL_PLANT_MAT:STRUCTURAL]
	[GRASS]
	[GRASS_TILES:'.':',':'`':''']
	[GRASS_COLORS:2:0:1:2:0:0:6:0:1:6:0:0]
	YES_STANDARD_GRASS!WET]
	YES_STANDARD_GRASS!DRY]
	YES_STANDARD_GRASS!BIOME:ANY_GRASSLAND]
	YES_STANDARD_GRASS!BIOME:ANY_SAVANNA]
	YES_STANDARD_GRASS!BIOME:ANY_SHRUBLAND]
	YES_STANDARD_GRASS!BIOME:ANY_FOREST]

[PLANT:NEEDLE GRASS]
	[ALL_NAMES:needle grass]
	[USE_MATERIAL_TEMPLATE:STRUCTURAL:STRUCTURAL_PLANT_TEMPLATE]
	[BASIC_MAT:LOCAL_PLANT_MAT:STRUCTURAL]
	[GRASS]
	[GRASS_TILES:'.':',':'`':''']
	[GRASS_COLORS:2:0:1:2:0:0:6:0:1:6:0:0]
	YES_STANDARD_GRASS!WET]
	YES_STANDARD_GRASS!DRY]
	YES_STANDARD_GRASS!BIOME:ANY_GRASSLAND]
	YES_STANDARD_GRASS!BIOME:ANY_SAVANNA]
	YES_STANDARD_GRASS!BIOME:ANY_DESERT]

[PLANT:BABY TOES SUCCULENT]
	Fenestraria
	[NAME:baby toes succulent][NAME_PLURAL:baby toes succulents][ADJ:baby toes succulent]
	[USE_MATERIAL_TEMPLATE:STRUCTURAL:STRUCTURAL_PLANT_TEMPLATE]
	[BASIC_MAT:LOCAL_PLANT_MAT:STRUCTURAL]
	[GRASS]
	[GRASS_TILES:'.':',':'`':''']
	[GRASS_COLORS:2:0:1:2:0:0:2:0:0:6:0:0]
	YES_STANDARD_GRASS!WET]
	YES_STANDARD_GRASS!DRY]
	YES_STANDARD_GRASS!BIOME:ANY_DESERT]
	[GROWTH:BUD]
		[GROWTH_NAME:baby toes succulent bud:STP]
		[GROWTH_ITEM:PLANT_GROWTH:NONE:LOCAL_PLANT_MAT:STRUCTURAL]
		[GROWTH_DENSITY:1]
		[GROWTH_TIMING:240000:249999]
		[GROWTH_PRINT:0:7:2:0:0:NONE]
	[GROWTH:FLOWER]
		[GROWTH_NAME:baby toes succulent flower:STP]
